taxon,L1S105,L1S140,L1S208,L1S257,L1S281,L1S57,L1S76,L1S8,L2S155,L2S175,L2S204,L2S222,L2S240,L2S309,L2S357,L2S382,L3S242,L3S294,L3S313,L3S341,L3S360,L3S378,L4S112,L4S137,L4S63,L5S104,L5S155,L5S174,L5S203,L5S222,L5S240,L6S20,L6S68,L6S93
Faecalibacterium,0.11061660108700044,0.09463730488923161,0.06056689342848405,0.038389482945016866,0.0819595854932138,0.07662474856694027,0.10900202779914137,0.01817591425035975,0,0.0013670542115330553,0.00631315228107389,0.0037582255321815927,0,0.009119670360548266,0.0042052206629785574,0,0.014388737452099606,0,0.0045228480537266484,0.014448135747385998,0.0030911925696728445,0.13603026943087324,0.0059773041084594195,0,0,0,0,0,0,0,0,0,0,0
Psychrobacter,0,0,0,0,0,0,0,0,0,0.0034141378332579035,0,0.04118590695941016,0,0,0,0,0,0,0,0,0.07741959897977062,0,0,0,0.0034832531889126034,0,0,0,0,0,0,0,0,0
Pseudomonas,0,0,0,0,0,0,0,0,0.012636003357084428,0.015833852629286445,0.3873583188229677,0.036053820223532276,0,0.029168734590656824,0.12054178708458894,0,0,0.01619468591998063,0.011717123687753777,0.2949322336768406,0.10659813957817624,0,0.08390904775638984,0.0019329575172538963,0.02132276946882123,0,0,0,0,0,0,0,0,0
Acinetobacter,0,0,0,0,0,0,0,0,0.1879432297769711,0.017627575083313363,0.012273954244254048,0.016801888724210966,0.004730937268582334,0,0,9.777561277606968e-4,0,0.20916880683014263,0.014401689058422762,0.010341353794732586,0.013326696463699656,0,0.007168489478612542,0.0010178117927006638,0.009295740873481183,0,0,0,0,0,0,0,0,0
Akkermansia,0.025507378703571598,0,3.679401525535033e-4,9.388202848837048e-4,0,0.0036705707648808485,0.001143365429773659,0.07950662902124393,0,0,0,0,0,0,0,0,0.025317807984289873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Prevotella],0,0,0,0,0,0,0,0,0.004060919286315031,0.02276667699814984,0.008827295654406432,0.012472877634625412,0.0027624326959100895,0.004920923814198587,0.009228253409252044,0.022967285380116526,0,0.0048860032056261505,0.006326275052877349,0.058543455612610276,0.009245058144051103,0,0.010733555643108697,0.01836395063033743,0.0020504415631724267,0.0013461971967968184,0,0.02177852599473035,0.005194816877104004,0.0015854145215403752,0,0.0021857932199802585,0.007164906099043654,0.07852588672738525
Prevotella,0.010230268250814944,0.00792606527242069,0,0,0,0,0,0,0.004060919286315031,0.02699219201435624,0.003161558118729074,0.005944018752161852,0.05441034400240366,0.006322465739487037,0,0.09777495805644187,0,0.002445985728260413,0.014401689058422762,0.012396852976828611,0,0.003995211067288329,0.004546006154187739,0.033348105952711135,0.009092364830477966,0.10558500774542305,0.06713930283762855,0.3190586777388123,0.07741688559586886,0.17162058066477914,0.05852157161965604,0.04325229932955635,0.04559985998002405,0.24496611667068316
Pedobacter,0,0,0,0,0,0,0,0,0,0.001594714997946059,0.05213208120288933,0.014021105223649587,0,0.006322465739487037,0.00588236990306653,0,0,0.0016313217320840779,0,0.025655588767775094,0.009245058144051103,0,0.004068451226296196,0,0.005526572248841852,0,0,0,0,0,0,0,0,0
Bacteroides,0.45747365649490374,0.4971346743542062,0.44420446439210814,0.3847979870194599,0.38051547080420783,0.419916226646339,0.4779010518113558,0.5001330866486849,0.002540006445608342,0.002277386545678477,0.00976847219447022,0.016184604753992887,5.925926099341234e-4,0.022300575724145188,0.00588236990306653,0,0.5280674302004967,0,0.005424968096864565,0.011369631520298573,0.013326696463699656,0.47678602109405216,0.007644566612098594,5.090353889504125e-4,0.0024600258408623466,0.004480294232761984,0.004987541511039074,0,0.0023646263087130645,0,0.005564844633407444,0.001166350912219898,8.357710473961021e-4,0.0012935682723663846
Parabacteroides,0,0.015789801732635226,0.026032101393037903,0.0741974215924863,0.028611696898895356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667366932705928,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,3.8552978695088403e-4,0.017437474767761727,0.03400785940394443,0.04319862957476635,0.02817087696669632,5.744155479901784e-4,3.8126708220641124e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024516846788085175,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter,0,0,0,0,0,0,0,0,0.0010167769050868714,9.115770913835294e-4,0,0.0018808782974456051,0.006695574442747197,0.0021119332031435275,0.003365590051099216,0.016493218887995136,0,0,0,0,0,0,0.0010785548412080284,0.0034563417553968214,0.0023576454977987707,0.004480294232761984,0.004434597067865746,0.01069528911674796,0.017832476295556392,0.00711465451675861,0.003898640415657323,0.01059285824585632,0.005170556094484626,0.015271830388269935
Haemophilus,0,0,6.13158398019663e-4,0,0,0,0,7.106815735122057e-4,0.009365971516008206,0.02142858580830952,0.00631315228107389,0.004695579139323584,0.20973655161664675,0.031220017361214207,0.04046794955284651,0.028687034052903484,0.005558658003827539,0.011363758650315088,0.014401689058422762,0.05658074644476156,0,0,0.03661170482758186,0.06704936835748179,0.012746820222328916,0.21312496487618157,0.22491975071546555,0.12226747538005746,0.1565827847958708,0.14384101655770343,0.25995752443692605,0.12850418949546213,0.1954732657053794,0.09905562472888067
Anaerococcus,0,0,0,0,0,0,0,0,0.03474046723592166,0.03846628082779606,0.013211893972230515,0.009369212821689937,0.0013821702269516789,0.031902844291125027,0.04571518661760582,0.010703094147090053,0,0.0376496209212401,0.051247962444389034,0.014448135747385998,0.01026703063974415,0,0.035917902764598435,0.013553358069987921,0.04259382291961172,0,0,0,0,0,0,0,0,0
Rothia,0,0,0,0,0,0,0,0,0.0027936526105700066,0.011786174514705724,0.0050537062707669824,0.0012543118609070975,0.034566548194141726,0.00842110239640825,0.009228253409252044,0.009007973266554828,0,0.007320081486505764,0.017079066829139154,0.004149383546811507,0,0,0.009784113369080642,0.00831563457285679,0.0049140148024290585,0.07689451528249393,0.034938051361280434,0.022780028331819895,0.03854668068311963,0.012221717276760673,0.05641408928009133,0.015632102946131966,0.03677367735175202,0.005450386412967334
Oribacterium,0,0.0066787503023083014,0.002328004482146697,0.004996887349103805,0.004223871116185112,0,0,0,0,0,0,0,0.011980895545392561,0,0,0.005852247865781777,0,0,0,0,0,0.017460761063876375,0,0.0033548549739629858,0,0.009830284701948059,0.005540180375615371,0.007651146735519799,0.011767610492995528,0.005537988837363713,0.009441891860419353,0.017067235224595967,0.009817867363223756,0.004305402747017468
Blautia,0.019222792910882334,0.008618346366181686,0.008428560249572671,0.004061870918197173,0.004374394184129433,0.03222620437774801,0.01751446522327643,0.008776953286124775,0.0017786817038487075,0,0,0.004695579139323584,0,0.006322465739487037,0,0,0,0,0,0.007250161225059742,0,0.018247233774489776,0.0060964865172769755,0,0.00430108189939061,0,0,0,0,0,0,0,0,0
Peptoniphilus,0,0.001116227268123649,0,0,0,0,0,0,0.02635363958588365,0.010658905767220022,0.00976847219447022,0.004070774370481503,7.900454687057632e-4,0.0501651036036635,0.02538101711170892,0.008280612342257706,0,0.02020270731751945,0.02152549478627383,0.008281620831722018,0,0,0.009902842962571257,0.0079115941633198,0.05121118921077302,0,0,0,0,0,0,0,0,0
Neisseria,6.42467095661418e-4,0,0,0,0,0,0,0,0.012887101914587055,0.023435051758466472,0.007571014082144777,0.00999071688147175,0.2108573587150037,0.03258520528655415,0.0497328698042182,0.05263746273315117,0,0.01779982270120909,0.019749295385018035,0.022611446386546934,0.016377029281322647,0,0.038805574421795094,0.05863390318138439,0.01729618863084094,0.008050132918987044,0.2485946837437341,0.04260228290599118,0.2020901421163774,0.1739566404623269,0.22225029533699475,0.41499889919683064,0.2531892954082884,0.1763591407073088
Corynebacterium,0,9.76766979214819e-4,0,0,0,0,0,0,0.2577366237529009,0.27130380788545994,0.03301452126841023,0.05017877331997399,0.005713738330490436,0.1017599610955785,0.13574133827532545,0.06737748087207085,0,0.2972281995807715,0.26869053952036837,0.04372836982746964,0.05129329438755053,0,0.11399221982979099,0.09169320391578666,0.10778982849633671,0,0,0,0.0014194466542262524,0,0,0,0,0
Streptococcus,0,0,0.0014709490271746705,3.1303803667743547e-4,0,5.744155479901784e-4,0,0.004256533100904005,0.09155765634878084,0.19286766576448405,0.03912327575673144,0.04928311719202954,0.12240471315976557,0.15021664539955626,0.17399934217736912,0.14647006970928694,0.004449395549541796,0.04470017891790688,0.1674027232330958,0.07603661306012746,0.035482688360908274,0.00239904153446616,0.1701575465443405,0.1924533557243615,0.05714130915069764,0.18104848214715652,0.2015793733983692,0.11772614150793127,0.20440853573595788,0.11526764411364737,0.10831373988093944,0.05891552065364207,0.11488027599842206,0.09448612790782743
Lactococcus,0,0,0,0,0,0,0,0,0.002032521024922329,0.030094343848443367,0,0.005944018752161852,0,0.0447887465672831,0.011313759900273423,0,0,0,0.030359474497033568,0,0.0071979745223262545,0,0.011800601805174098,3.0545232635801874e-4,0.02312945469377024,0,0,0,0,0,0,0,0,0
Veillonella,0,0,8.583165262394575e-4,0,0,0,0,0,0.009365971516008206,0.018747019955617998,0,0.004070774370481503,0.057026678890476065,0,0.008810629682154892,0.027022150804739756,0,0.006509380185516939,0.017079066829139154,0.007250161225059742,0,0,0.010140259867770032,0.024940954906694915,0.0025623957032642813,0.06265641880803786,0.0545933986041731,0.13487457617099027,0.06507104977356952,0.05667347984759451,0.053244514518812285,0.04646033611390277,0.044640780622620495,0.07065025368208533
Oscillospira,0.009593933517284246,0.03847945114769015,0.024357459853345538,0.04004523706755189,0.02905232259450199,0.015168221473171352,0.012631215051123548,0.012856008101534012,0.0017786817038487075,0,0,0,0,0.0014084509370579786,0,0,0.009983443984183212,0,0,0,0,0.0407899683869276,0,0,0,0,0,0,0,0,0,0,0,0
