sample_id,body_site
L1S105,gut
L1S140,gut
L1S208,gut
L1S257,gut
L1S281,gut
L1S57,gut
L1S76,gut
L1S8,gut
L2S155,left palm
L2S175,left palm
L2S204,left palm
L2S222,left palm
L2S240,left palm
L2S309,left palm
L2S357,left palm
L2S382,left palm
L3S242,right palm
L3S294,right palm
L3S313,right palm
L3S341,right palm
L3S360,right palm
L3S378,right palm
L4S112,right palm
L4S137,right palm
L4S63,right palm
L5S104,tongue
L5S155,tongue
L5S174,tongue
L5S203,tongue
L5S222,tongue
L5S240,tongue
L6S20,tongue
L6S68,tongue
L6S93,tongue
