sample_id,PC1,PC2,body_site
L1S105,0.5304991578061121,0.08234421738719386,gut
L1S140,0.5307266436596779,0.08936045959958597,gut
L1S208,0.5185157190028099,0.08949132952467892,gut
L1S257,0.4958304488500623,0.08236422398436032,gut
L1S281,0.4923929731479218,0.08187131969911192,gut
L1S57,0.5167373080267933,0.08345350604833203,gut
L1S76,0.5278513030865273,0.0856552106114061,gut
L1S8,0.48906201813784156,0.08075726374561125,gut
L2S155,-0.14037956120462966,-0.33490595096492226,left palm
L2S175,-0.20452482387265286,-0.3265181608605889,left palm
L2S204,-0.061507540379265147,-0.33347518294429607,left palm
L2S222,-0.049958555929555844,-0.2970555045549665,left palm
L2S240,-0.3323848004994393,0.3710912016116333,left palm
L2S309,-0.1656955679969308,-0.35592673774334127,left palm
L2S357,-0.21505820627729008,-0.35504652950605275,left palm
L2S382,-0.15688716210080086,-0.16194192299041454,left palm
L3S242,0.46621984784393455,0.07934157873199771,right palm
L3S294,-0.0922777193079211,-0.33232383493802314,right palm
L3S313,-0.19122822603249354,-0.32940428451782056,right palm
L3S341,-0.1284711312060467,-0.31445712025047334,right palm
L3S360,-0.04498043317493654,-0.28127045098003994,right palm
L3S378,0.502642454463206,0.0885400892064858,right palm
L4S112,-0.22442700504812435,-0.34071681122226705,right palm
L4S137,-0.2164853285662202,-0.17400051713765985,right palm
L4S63,-0.14533369661921774,-0.3775871465311239,right palm
L5S104,-0.3141172120769237,0.31763338943223635,tongue
L5S155,-0.2877050051111361,0.3476914583353647,tongue
L5S174,-0.26784688999759076,0.34665223600631156,tongue
L5S203,-0.3252009116404912,0.34181080297311617,tongue
L5S222,-0.2956176981809461,0.3799100252848615,tongue
L5S240,-0.3211733825260091,0.37873974615782197,tongue
L6S20,-0.27193607201454023,0.3557986344742318,tongue
L6S68,-0.3226662334584896,0.33859787410020625,tongue
L6S93,-0.2946147108032366,0.29352558822744207,tongue
